user	date	time	text
celtickevin	5/1/2021	12:30 PM	"


Conservatives.




A bigger problem than progressives, everyone knows what they are. You cant have an argument at all if the premise is a lie to begin with. 
example:
progressive: Blacks and white are equal, whites are oppressors
conservatard: blacks and whites are equal, everyone deserves a fair shot
realist: not equal, blacks are dangerous, and will only ruin your neighborhood and subject your sons to crime and your daughter to rape, and drain the tax base




"
celtickevin	5/1/2021	12:35 PM	"


re: Conservatives.


progressive: women in mens bodies need to be in womens sports
conservatard: Women should have their own sports, we should subsidize their college, and Title 9 should be enforced
realist: Title 9 is a fraud, a women sports team should only be allowed if they pay their own way. And lets be honest, sports is most often a waste of time, and all teams that exist should be segregated. womens softball is notorious for lesbian breeding ground


"
celtickevin	5/1/2021	12:41 PM	"


re: Conservatives.


progressive: gay marriage and adoption!
conservatard: I don't care what someone does in their own bedroom, let them get married, who cares, don't approve of adoption
realist: go shoot yourself, they can do their own service in the Unitarian church without the government, and adopters should be arrested, the children are better off in an orphanage


"
Little Dark Age	5/1/2021	12:44 PM	"


re: Conservatives.


Progressive: We are a nation of immigrants, and borders should not exist. Every migrant can contribute to American society.
Cuckservative: We are indeed a nation of immigrants, but they need to come legally in order to fully integrate into American society.
Realist: Every nation starts off as a nation of immigrants until they decide it's no longer a necessity to have waves of immigrants as we are having today, especially if they aren't White. The country was built by Europeans for Europeans, and the brown hordes coming from the south are incapable of integrating into American society because culture is a manifestation of our genetic make-up and non-Whites can't adapt to our higher standards of living. Those who disagree can happily leave their White suburbs for occupied Detroit or California.


"
celtickevin	5/1/2021	12:45 PM	"


re: Conservatives.


progressives: let em all hop the border
conservatard: They're already here, latinos are natural conservatards, Trump converted ten percent of them , lets get out the vote
realist: f()c$ that, kick them all out, seal that border, and be prepared for a fractured United States


"
celtickevin	5/1/2021	12:55 PM	"


re: Conservatives.


Progressives: we love Asians, but be fair, we need room for the darkies in college
conservatard: I love Asians, they just like us. It's awful those hard studying geniuses are disallowed from some colleges
realist: screw them they cheat, they're not as smart as they are made out to be, they tend to be very slavish order followers, and will screw you over any chance they get, and they need to go the eff home. Asian women are the go to for the mild incel white guy. Mexican women are the go to for incels even farther down the totem pole


"
celtickevin	5/1/2021	1:14 PM	"


re: Conservatives.


progressive: jews are just one of many protected groups, whitey is the main enemy, But we love the palestinians and we love the iran deal. zionists and israel are bad conservatives.
conservatard: I wish we could have a wall like israel... im white, jews are just like us..im fact i love joos, i really do, israel is the prophecy , im waiting for the rapture, did i mention i love joos? give me some joo ass to kiss
realist: yeah right disband the joo federal reserve, arrest them all, shut down the media controls, and seize all their property


"
Gladiatrix	5/1/2021	1:18 PM	"


re: Conservatives.




Quote:


Originally Posted by celtickevin



realist: Title 9 is a fraud, a women sports team should only be allowed if they pay their own way.


And men's ""sports"" (which is negro sports) should also pay their own way. How many knee-grows get a path through college taking basket weaving?
What's good for the goose...The Aristocats - Duchess meets Amelia and Abigail (HD) - YouTube




__________________""They put the Jewish interest above America's interest and it's about goddamn time that the Jew in America realizes he's an American first and a Jew second.""
Richard Milhous Nixon
""And if after having elected their man or group, obedience is not rendered to the Jewish control, then you speedily hear of ""scandals"" and ""investigations"" and ""impeachments"" for the removal of the disobedient.""
Henry Ford, ""The International Jew""


"
S Sinistrari	5/1/2021	1:33 PM	"


re: Conservatives.


This topic is divisive. I know many conservatives who do not fit your list of discrepancies.
The title of the topic itself is of stunted and immature in nature, not one to be taken seriously.
Major problems in our nation are over the entire spectrum of citizens, even here.




__________________UNAPOLOGETICALLY WHITEAnd if all others accepted the lie which the Party imposedif all records told the same talethen the lie passed into history and became truth. Who controls the past ran the Party slogan, controls the future: who controls the present controls the past.' -George Orwell, 1984


"
celtickevin	5/1/2021	2:33 PM	"


re: Conservatives.




Quote:


Originally Posted by Gladiatrix


And men's ""sports"" (which is negro sports) should also pay their own way. How many knee-grows get a path through college taking basket weaving?
What's good for the goose...The Aristocats - Duchess meets Amelia and Abigail (HD) - YouTube


Title 9 provides for mens sports that pays their own way, like college football through ticket sales, to be set aside for a womans team that no one wants to see


"
celtickevin	5/1/2021	2:41 PM	"


re: Conservatives.






Quote:


Originally Posted by S Sinistrari


This topic is divisive. I know many conservatives who do not fit your list of discrepancies.
The title of the topic itself is of stunted and immature in nature, not one to be taken seriously.
Major problems in our nation are over the entire spectrum of citizens, even here.


If you know people who call themselves conservatives who take the realist position, then they just are under the conservative umbrella so they dont get doxxed for tilting farther to the right. The label fits and nothing in the last 60 years has been conserved.




"
Ole Massa	5/1/2021	2:46 PM	"


re: Conservatives.


Liberals: All conservatives are racist. 
Conservatives: Don't call me racist. Boohoo. 

"
NicholasXLIX	5/1/2021	2:58 PM	"


re: Conservatives.


It is mainly, Neo-Conservatives more than normal conservatives.




__________________We must secure the existence of our people and a future for white children.National Socialism:https://thegreateststorynevertold.tv/http://www.hitler-library.org/http://whitehonor.com/https://www.whoiswhite.com/nsdap.info


"
Little Dark Age	5/1/2021	3:01 PM	"


re: Conservatives.


Kevin's bashing fake conservatives. He's not criticizing real conservatives. No need to jump on his throat over a satirical thread.


"
CountryBoy88	5/1/2021	3:38 PM	"


re: Conservatives.




Quote:


Originally Posted by Gladiatrix


And men's ""sports"" (which is negro sports) should also pay their own way. How many knee-grows get a path through college taking basket weaving?
What's good for the goose...The Aristocats - Duchess meets Amelia and Abigail (HD) - YouTube


Men's sports generates revenue. Especially football and basketball. Some colleges like Alabama generate huge revenue from their football team, enough to fund all the rest of the athletic programs. Women's sports is always a loss. They don't get any ratings, nobody cares, and they don't fill stadiums up like the men do. 
Anyone in sports that doesn't generate revenue shouldn't get a scholarship, IMO. Basically all women's sports, and probably most men's sports that's not basketball or football.
These colleges already get too much of our tax money, and I don't see any justification for paying more taxes so little tam tam can get a free ride scholarship in a type of sports that doesn't generate enough revenue to justify giving scholarships.


"
Gladiatrix	5/1/2021	8:38 PM	"


re: Conservatives.




Quote:


Originally Posted by CountryBoy88


Men's sports generates revenue. Especially football and basketball. Some colleges like Alabama generate huge revenue from their football team, enough to fund all the rest of the athletic programs. Women's sports is always a loss. They don't get any ratings, nobody cares, and they don't fill stadiums up like the men do. 
Anyone in sports that doesn't generate revenue shouldn't get a scholarship, IMO. Basically all women's sports, and probably most men's sports that's not basketball or football.
These colleges already get too much of our tax money, and I don't see any justification for paying more taxes so little tam tam can get a free ride scholarship in a type of sports that doesn't generate enough revenue to justify giving scholarships.


I don't give a damn about feets bowel.




__________________""They put the Jewish interest above America's interest and it's about goddamn time that the Jew in America realizes he's an American first and a Jew second.""
Richard Milhous Nixon
""And if after having elected their man or group, obedience is not rendered to the Jewish control, then you speedily hear of ""scandals"" and ""investigations"" and ""impeachments"" for the removal of the disobedient.""
Henry Ford, ""The International Jew""


"
Franco	5/1/2021	9:23 PM	"


re: Conservatives.




Quote:


Originally Posted by Gladiatrix


I don't give a damn about feets bowel.



Yes, who needs [...] except fat, White, Conservatard realtors who bet $500.00 on the Superbowl every year?? I've known many of them. Some were Mormons, and no foolin'. Hang your heads in shame, Conservatards! With friends like Conservatards, we don't need enemies. You ain't helping, Cons. Fix yer hair and stop blockin' the mirror, fools...
-----------------




__________________Vanguard News Network (VNN)
When Victims Rule: http://www.jrbooksonline.com/PDF_Books/wvr.pdf
Bolshevism From Moses to Lenin: http://www.jrbooksonline.com/PDF_Boo...s_to_Lenin.pdf
National Alliance:https://www.bitchute.com/channel/natall/
""What do you think this is - a democracy?""





Last edited by SBWPWW; 05-05-2021 at 09:39 AM.
Reason: Remove racial Epithet.



"
