user	date	time	text
Unlearn	5/2/2013	11:06 AM	"


The way forward: Positive White Nationalism




*Mods to please sticky this if possible*The way forward: Positive White Nationalism
The goal of this post is to create a cohesive strategy for awakening our people and eventually generating a modern European cultural renaissance. It is less of a nuts-and-bolts solution, and is more of an over-arching philosophy and lifestyle, an ethos for white nationalists to follow which will allow solutions to occur and to move us forward towards the results that we want. 
These ideas aren't necessarily things that I invented. I am attempting to synthesize, for your benefit, many ideas from national philosophy, psychology, marketing, and elsewhere into a set of ideals that I know will work if we can hold ourselves to them. I'm calling it ""Positive White Nationalism"" for lack of a better term at the moment. So what is PWN and what are the core ideas that make it work? Lets explore...:-Concentrate on Solutions, Not Problems 
It has been proven that people will subconsciously move toward what they concentrate on. If that happens to be what they don't want, then they will move in that direction whether they like it or not. I remember back when I was a teen, my driving instructor told us ""not to look at big trucks beside you on the highway; you'll steer right into them."" It's a nice metaphor for many things in life. Whatever you feed in your life with your attention, that is what your mind will go to work on. If we can steer ourselves towards the solutions, and not the problems, then that will at least get us pointed in the right direction. 
Speaking to many of you, I can tell that you are depressed. It seems that so many in our society are... and no wonder: so much of our society is grim. Hearing something bad or hearing about a problem creates a sensation of anger. Anger, when not acted upon, leads to feelings of frustration. This can be especially acute in men. Frustration, when built up enough, leads to feelings of futility, helplessness, and powerlessness, which is essentially ""depression"". To prevent this, you can either channel your feelings of anger into activity, or you can dial back the input of negative information. I'm proposing that people do both. By concentrating on the solutions, you focus your attention away from negative input, while at the same time encouraging you to act in a way that alleviates your anger in a constructive manner.-Reframe the Negative and Find the Positive 
On the surface this feels like such a juvenile thing. There is so much negative. We are truly facing the extinction of what most of us hold most dear. It feels overwhelming. Crushing. To ""pretend"" to be positive sounds ridiculous. I'm not talking about pretending. It may feel that way slightly at first. I'm talking about truly making the effort to find the positive in situations. It's always there. I can promise you that. Let me give you an example: say you read an article about a film and it's very anti-white. Instead of concentrating on that and talking about it, look for a film that isn't anti-white or even has pro-white messages. They do exist. The Invasion (2007) was packed full of underlying messages that support our views (which is why critics hated it!). 
I'm not condoning ignorance here, I'm saying that we can't get anywhere if we focus on the negative. Negative thoughts can be highly addictive. They will also destroy you and poison your life. Acknowledge the problems, but don't feed them. Push forward. 
The other benefit to this is that it makes our movement (and you as an individual) 1000 times more attractive to outsiders. You simply cannot attract people with a negative movement. Even in Germany, it wasn't the anti-Semitic rhetoric that got the German people on board, it was the hope, the positive message of unification and prosperity in the face of a destitute and broken future for the working class. We know that things are bad. Lets aim toward a future that works instead of wasting our energies on a past that we cannot change. I realize that at times it can be hard to enjoy your life because it seems like ""what's the point if it's all going out the window"". We all need to find ways to enjoy our lives though, and pull our thinking out of the venomous death spiral.-Lift your Own Race Up, Don't Push Others Down
If we want to spin our wheels trying to disparage other races while our own gets wiped off the map, then I say we deserve to die. It is futile and idiotic. We need to be helping out our own people, not doing petty sniping at others. Don't waste your energies on them. Let them do their own thing. They don't concern us. We concern us. Try doing real-world activities to help your white community. Be prepared to fight, but put your efforts into things that actually help in the present. Add value to your community, instead of take from it. Make money so you can support causes. Be an example of what is good so others can follow it. Find locals that are in need and organize a function to tackle that need. Celebrate what is good and amazing about our own culture instead of trying to point out what is bad about other cultures. That is attractive to people. That makes people want to experience and value the things that we value about our race. The only way we're going to create enough unity among our people to overcome the massive challenges ahead of us is to make them care about who they are. The only way we're going to do that is by showing and demonstrating all of the good qualities of our race. Bringing down someone else might make you feel good temporarily, but it makes you look bad and it undermines your message. Be the best that you can be in your life. You represent us!-Actions, Not Words
Whenever you can, force yourself to take an action, rather than make a rant or post something. It might sound weird, but say, upon hearing something that especially makes you sad and angry about race... maybe about a child getting hurt: instead of just wallowing in that, force yourself to do something. I don't mean seek out the guy that hurt the child and gun him down, I mean something constructive. 
Maybe your neighbor has a child that likes motorcycles. Invite your neighbor and his kid over and let the child help you fix yours while his dad and you drink a beer. I don't know. Something. Anything. Any positive action towards another white person is better than thoughts or futile posts against another non-white. 
Do it right away though. Don't give your anger time to settle inside you. Let it force you to act. We are designed to act! We are biological machines of action. Spend some time in the PLE posts and see that action speaks louder than words. You will feel so much better, your race will thank you, and the world will look upon us in a better light.
I realize that alot of this feels a little alien and perhaps cheesy. I myself, am a fighter by instinct, and alot of this goes against what I am ingrained to think, but in a sense, this IS fighting. It's fighting against the void that is threatening to swallow us up. 
Roll up your sleeves and take the 3 week PWN challenge: What is the 3 week PWN challenge you ask?... 
I challenge all stormfronters, including myself, to not post a single negative post for 3 weeks. Challenge yourself to find the positive. Challenge yourself to find a solution. Ask yourself, are you content to stew in a present where we are a doomed people, or are you willing to make the effort to at least try to move us in a different direction? You have nothing to lose. In the words of Jerry Maguire: ""Who's coming with me?"" 





__________________
""I have pointed out before that multiculturalism cannot exist, except as several cultures living side by side in defined territories, where the laws of one culture do not apply in the territories of the others."" - Paul Belien of The Brussels Journal
""His true forefathers, the Gods, his true country, he never would have abandoned; nor would he have yielded to any man in obedience and submission"" - Epictetus
Never forget. http://en.wikipedia.org/wiki/1804_Haiti_Massacre


"
PoliticalNationalist	5/2/2013	7:51 PM	"


Re: The way forward: Positive White Nationalism


Although I am a new member and my recommendation doesn't carry much weight, I agree entirely that this should be a sticky. We need much more positive attitude tossed around this forum. It's good for everyone. 
I applaud everything you said. I've personally been fighting with myself because of the constant bombardment of negativity in my surrounding environment, but you helped me get back into this positive mindset just by writing that. 
I realized a few years ago that those who are most successful AND happy have restructured their mindset to recognize the positive in everything. It definitely takes time to restructure your mindset because we've had years of indoctrination that structured our minds the way they are, but we can all do it. We can plant the positive seeds by simply picking up a few motivational books or talking to some positive people (like the fellow above). If we continuously water those seeds with practice and further reading/conversation then they'll blossom into something great. This has been proven countless times. If others can do it then so can you and I. 
Simply adding on to what he said above: every time we read a negative news article we can write a positive news article of our own. We can all create a blog within a few clicks these days. Likewise, whenever we see an anti-white movie come out we can post a positive pro-white video on YouTube. If enough of us work together on this then we can saturate the internet with positive pro-white material and draw many more into our movement. 
Our forefathers laid a great foundation for us and we're all proud of them for their accomplishments. We should challenge ourselves to lay an equally or greater foundation for our children/grandchildren. We have the seeds of greatness in every single one of us. All we have to do is look at our ancestors - the very DNA we came from - and look at their accomplishments. We inherited that DNA so we're most certainly capable of achieving their greatness. It all starts with what he wrote about above - our positive mindset. Whoever nails that down is an unstoppable force who will achieve great things in their life.


"
Unlearn	5/2/2013	9:21 PM	"


Re: The way forward: Positive White Nationalism


PoliticalNationalist,
Thank you for your well-spoken kind words. You hit several nails on the head there. Our ancestors didn't go forth and multiply by sitting in their cottages getting angry, reading Infowars.com and despairing. They rolled up their sleeves and did what they could with the time they had. They plowed their fields, they loved their families, they danced and drank with their fellow men and women. When it was time to fight, they got together and did something about it. Negative thought should lead to positive action, or it should be turned to positive thought. We have enough problems without torturing ourselves with an endless list of things we can do nothing about. 
People don't want to join a dying cause, they want to join a living one.


"
moonflower994	5/2/2013	9:43 PM	"


Re: The way forward: Positive White Nationalism


I agree completely. I love the visual arts thread and what not. Lets concentrate on lifting our people up... I think we will attract more members that way.


"
Lone Wulf	5/2/2013	9:54 PM	"


Re: The way forward: Positive White Nationalism


You make a very good point Unlearn. Negativity has never been a facet of any successful movement or political party. There is some cartharsis in posting scathing remarks toward Zionists in News links and Articles but considering that is the most visited section; perhaps there is too much. 
I am of the opinion that the average white man will start to think like us in the next few decades as he watches Mexicans invade the U.S. and the Muslims invade Europe. I think the future is brighter than what it seems now. It can only get so bad before the white man watches his children go hungry and decides to act. Once one nation throws off the chains of diversity others will follow. Well that's my positive post.

"
Unlearn	5/2/2013	10:09 PM	"


Re: The way forward: Positive White Nationalism




Quote:


Originally Posted by Lone Wulf


Well that's my positive post.


Well done. A step in the right direction!


"
NatetheWatcher	5/2/2013	10:12 PM	"


Re: The way forward: Positive White Nationalism


Going soft is not the way! NO! WE GO HARD! THIS IS WAR! WAR IS DIRTYAND NASTY!Somehow when we are victorious I believe we will see the soft people who pleaded for us to be nice will ride our coattails and that also cannot stand. Youre either with us or against us! The time is now... 


"
WhiteHurricane	5/2/2013	10:20 PM	"


Re: The way forward: Positive White Nationalism


Just saying the Word White makes Anti-White White uncomfortable and defensive. 
They will call you a racist on the spot for acknowledging your own White skin.
I told my father I'm White and proud.
He called me a racist.

"
Angelus Silesius	5/2/2013	10:41 PM	"


Re: The way forward: Positive White Nationalism


I love the idea of Positive WN vis a vis the archaic blaming of others that has led to mostly stagnation. The same methodology applies in your daily life. If you are positive and upbeat, then that attracts people and makes them want to be in your company. If you're a negative, pessimist who finds fault in everyone and everything, then you'll find people pulling away from you.


"
Unlearn	5/2/2013	10:47 PM	"


Re: The way forward: Positive White Nationalism




Quote:


Originally Posted by NatetheWatcher


Going soft is not the way! NO! WE GO HARD! THIS IS WAR! WAR IS DIRTYAND NASTY!Somehow when we are victorious I believe we will see the soft people who pleaded for us to be nice will ride our coattails and that also cannot stand. Youre either with us or against us! The time is now... 


There is nothing soft about what I am espousing here. If we have white unity, we win. We get white unity by moving toward what is positive about our race. Your fighting instinct is admirable, now channel it into a victorious future. Organize, build, move forward.


"
